,Unnamed: 0,PRCP,SNOW,TAVG,TMAX,TMIN,trip_distance,passenger_count,total_amount
0,0,0.0,0.0,46.0,53.0,40.0,0.49,1.0,4.8
1,1,0.0,0.0,46.0,53.0,40.0,0.71,1.0,5.8
2,2,0.0,0.0,46.0,53.0,40.0,0.9,5.0,6.3
3,3,0.0,0.0,46.0,53.0,40.0,0.25,1.0,6.0
4,4,0.0,0.0,46.0,53.0,40.0,1.13,1.0,6.8
5,5,0.0,0.0,46.0,53.0,40.0,0.82,1.0,5.8
6,6,0.0,0.0,46.0,53.0,40.0,0.44,2.0,6.36
7,7,0.0,0.0,46.0,53.0,40.0,1.0,1.0,8.5
8,8,0.0,0.0,46.0,53.0,40.0,0.88,5.0,7.56
9,9,0.0,0.0,46.0,53.0,40.0,0.85,6.0,7.56
10,10,0.0,0.0,46.0,53.0,40.0,0.93,1.0,5.8
11,11,0.0,0.0,46.0,53.0,40.0,0.73,1.0,6.3
12,12,0.0,0.0,46.0,53.0,40.0,1.04,1.0,6.8
13,13,0.0,0.0,46.0,53.0,40.0,0.62,1.0,6.96
14,14,0.0,0.0,46.0,53.0,40.0,1.09,1.0,7.8
15,15,0.0,0.0,46.0,53.0,40.0,0.6,1.0,5.8
16,16,0.0,0.0,46.0,53.0,40.0,1.59,2.0,9.36
17,17,0.0,0.0,46.0,53.0,40.0,1.16,1.0,7.3
18,18,0.0,0.0,46.0,53.0,40.0,1.13,1.0,7.3
19,19,0.0,0.0,46.0,53.0,40.0,1.15,1.0,7.3
20,20,0.0,0.0,46.0,53.0,40.0,1.06,2.0,8.3
21,21,0.0,0.0,46.0,53.0,40.0,1.74,1.0,9.8
22,22,0.0,0.0,46.0,53.0,40.0,2.67,2.0,11.8
23,23,0.0,0.0,46.0,53.0,40.0,4.67,1.0,18.96
24,24,0.0,0.0,46.0,53.0,40.0,2.08,1.0,9.8
25,25,0.0,0.0,46.0,53.0,40.0,1.32,1.0,13.5
26,26,0.0,0.0,46.0,53.0,40.0,1.76,1.0,9.8
27,27,0.0,0.0,46.0,53.0,40.0,3.75,1.0,14.8
28,28,0.0,0.0,46.0,53.0,40.0,2.68,1.0,13.3
29,29,0.0,0.0,46.0,53.0,40.0,2.52,1.0,15.8
30,30,0.0,0.0,46.0,53.0,40.0,12.05,1.0,45.89
31,31,0.0,0.0,46.0,53.0,40.0,5.48,1.0,27.34
32,32,0.0,0.0,46.0,53.0,40.0,2.58,1.0,12.8
33,33,0.0,0.0,46.0,53.0,40.0,3.75,1.0,17.3
34,34,0.0,0.0,46.0,53.0,40.0,5.84,6.0,26.76
35,35,0.0,0.0,46.0,53.0,40.0,6.12,1.0,22.8
36,36,0.0,0.0,46.0,53.0,40.0,13.17,1.0,43.84
37,37,0.0,0.0,46.0,53.0,40.0,0.91,1.0,6.3
38,38,0.0,0.0,46.0,53.0,40.0,0.0,1.0,15.0
39,39,0.0,0.0,46.0,53.0,40.0,1.01,1.0,6.8
40,40,0.0,0.0,46.0,53.0,40.0,0.69,1.0,5.8
41,41,0.0,0.0,46.0,53.0,40.0,0.0,1.0,-15.0
42,42,0.0,0.0,46.0,53.0,40.0,0.85,1.0,6.8
43,43,0.0,0.0,46.0,53.0,40.0,0.71,5.0,6.3
44,44,0.0,0.0,46.0,53.0,40.0,0.38,1.0,4.8
45,45,0.0,0.0,46.0,53.0,40.0,0.01,1.0,12.0
46,46,0.0,0.0,46.0,53.0,40.0,0.41,1.0,5.3
47,47,0.0,0.0,46.0,53.0,40.0,0.68,1.0,6.96
48,48,0.0,0.0,46.0,53.0,40.0,0.75,1.0,6.96
49,49,0.0,0.0,46.0,53.0,40.0,1.08,1.0,6.3
50,50,0.0,0.0,46.0,53.0,40.0,0.88,1.0,7.56
51,51,0.0,0.0,46.0,53.0,40.0,0.64,1.0,6.8
52,52,0.0,0.0,46.0,53.0,40.0,0.67,1.0,5.8
53,53,0.0,0.0,46.0,53.0,40.0,1.06,2.0,7.8
54,54,0.0,0.0,46.0,53.0,40.0,1.41,1.0,9.36
55,55,0.0,0.0,46.0,53.0,40.0,0.78,1.0,8.3
56,56,0.0,0.0,46.0,53.0,40.0,0.87,5.0,7.56
57,57,0.0,0.0,46.0,53.0,40.0,0.56,1.0,5.3
58,58,0.0,0.0,46.0,53.0,40.0,0.88,1.0,7.3
59,59,0.0,0.0,46.0,53.0,40.0,1.14,1.0,7.3
60,60,0.0,0.0,46.0,53.0,40.0,0.0,3.0,30.0
61,61,0.0,0.0,46.0,53.0,40.0,0.97,1.0,6.3
62,62,0.0,0.0,46.0,53.0,40.0,0.65,2.0,5.8
63,63,0.0,0.0,46.0,53.0,40.0,1.0,1.0,8.16
64,64,0.0,0.0,46.0,53.0,40.0,2.8,1.0,12.3
65,65,0.0,0.0,46.0,53.0,40.0,0.8,1.0,7.88
66,66,0.0,0.0,46.0,53.0,40.0,0.94,2.0,6.3
67,67,0.0,0.0,46.0,53.0,40.0,0.65,1.0,5.8
68,68,0.0,0.0,46.0,53.0,40.0,1.41,1.0,7.8
69,69,0.0,0.0,46.0,53.0,40.0,0.02,1.0,3.8
70,70,0.0,0.0,46.0,53.0,40.0,0.41,6.0,6.96
71,71,0.0,0.0,46.0,53.0,40.0,1.18,1.0,7.8
72,72,0.0,0.0,46.0,53.0,40.0,0.68,1.0,6.96
73,73,0.0,0.0,46.0,53.0,40.0,0.91,1.0,6.8
74,74,0.0,0.0,46.0,53.0,40.0,0.43,1.0,4.8
75,75,0.0,0.0,46.0,53.0,40.0,0.43,1.0,5.8
76,76,0.0,0.0,46.0,53.0,40.0,0.85,1.0,6.3
77,77,0.0,0.0,46.0,53.0,40.0,3.93,1.0,17.88
78,78,0.0,0.0,46.0,53.0,40.0,0.71,1.0,5.8
79,79,0.0,0.0,46.0,53.0,40.0,1.91,1.0,8.3
80,80,0.0,0.0,46.0,53.0,40.0,1.32,1.0,7.8
81,81,0.0,0.0,46.0,53.0,40.0,2.14,1.0,11.16
82,82,0.0,0.0,46.0,53.0,40.0,3.63,1.0,17.16
83,83,0.0,0.0,46.0,53.0,40.0,0.71,2.0,7.56
